TYPE,ADDRESS,CITY,DATE,TIME
Vehicle theft,600  N  Mcbride St,Syracuse,8/22/17,12:19 AM
Aggravated assault,800  N  Salina St,Syracuse,3/19/18,12:20 AM
Aggravated assault,700  E  Adams St,Syracuse,11/1/17,12:20 AM
Larceny,2500  James St,Syracuse,12/16/17,12:20 AM
Larceny,8600  Alizarin Av,Cicero,9/17/17,12:20 AM
Vehicle theft,900  Danforth St,Syracuse,7/1/17,12:20 AM
Robbery,3600  Midland Av,Syracuse,10/14/17,12:21 AM
Larceny,5800  E Circle Dr,Cicero,3/7/18,12:22 AM
Larceny,3200  Erie Blvd E,Syracuse,1/31/18,12:22 AM
Larceny,7200  Henry Clay Blvd,Liverpool,6/30/17,12:22 AM
Burglary,400  Hazelhurst Av,Syracuse,11/28/17,12:24 AM
Burglary,800  Highland St,Syracuse,8/27/17,12:24 AM
Burglary,400  Kirkpatrick St,Syracuse,8/2/17,12:24 AM
Burglary,3100  James St,Syracuse,6/26/17,12:24 AM
Aggravated assault,700  E  Adams St,Syracuse,1/1/18,12:25 AM
Aggravated assault,1400  S  State St,Syracuse,7/24/17,12:26 AM
Burglary,1000  Bellevue Av,Syracuse,11/29/17,12:26 AM
Aggravated assault,300  Prospect Av,Syracuse,11/9/17,12:29 AM
Larceny,200  Rich St,Syracuse,1/1/18,12:29 AM
Robbery,2000  E  Fayette St,Syracuse,6/9/17,12:29 AM
Burglary,100  Davis St,Syracuse,2/21/18,12:30 AM
Burglary,900  S  Salina St,Syracuse,1/22/18,12:30 AM
Burglary,3800  S  Salina St,Syracuse,9/28/17,12:30 AM
Burglary,100  Lewis St,Syracuse,6/20/17,12:30 AM
Larceny,300  Basin St,Syracuse,1/3/18,12:30 AM
Larceny,300  Ostrum Av,Syracuse,11/28/17,12:30 AM
Larceny,800  Livingston Av,Syracuse,11/3/17,12:30 AM
Larceny,100  W  Lafayette Av,Syracuse,10/28/17,12:30 AM
Larceny,100  Ballantyne Rd,Syracuse,10/16/17,12:30 AM
Larceny,1200  Madison St,Syracuse,9/10/17,12:30 AM
Larceny,100  Eloise Ter,Syracuse,8/7/17,12:30 AM
Larceny,0  Kingsley Pl,Syracuse,6/18/17,12:30 AM
Vehicle theft,500  Clarendon St,Syracuse,10/14/17,12:30 AM
Burglary,400  Marshall St,Syracuse,10/18/17,12:31 AM
Larceny,100  Edtim Rd,Syracuse,11/3/17,12:32 AM
Vehicle theft,0  Lee Ter,Syracuse,3/2/18,12:32 AM
Vehicle theft,100  Warner Av,Syracuse,11/26/17,12:32 AM
Aggravated assault,100  Old Liverpool Rd,Liverpool,7/9/17,12:33 AM
Larceny,200  Lexington Av,Syracuse,11/30/17,12:34 AM
Vehicle theft,300  Ostrom Av,Syracuse,11/20/17,12:34 AM
Vehicle theft,100  First St,Syracuse,6/13/17,12:34 AM
Aggravated assault,500  Hickock Av,Syracuse,2/17/18,12:35 AM
Burglary,100  Kenwood Av,Syracuse,7/18/17,12:35 AM
Burglary,300  Cleveland Av,Syracuse,6/12/17,12:35 AM
Larceny,6700  E Genesee St,Fayetteville,11/16/17,12:35 AM
Vehicle theft,300  Court St,Syracuse,2/5/18,12:35 AM
Burglary,700  Carbon St,Syracuse,10/1/17,12:36 AM
Vehicle theft,200  Wolf St,Syracuse,2/10/18,12:36 AM
Vehicle theft,100  Webster Av,Syracuse,7/26/17,12:36 AM
Aggravated assault,700  E  Adams St,Syracuse,6/17/17,12:37 AM
Larceny,600  State Fair Blvd,Syracuse,9/30/17,12:37 AM
Aggravated assault,1000  W  Onondaga St,Syracuse,12/22/17,12:38 AM
Burglary,5700  Thompson Rd,Syracuse,10/4/17,12:38 AM
Burglary,5600  Bartel Rd,,7/10/17,12:38 AM
Robbery,100  Bellevue Av,Syracuse,11/11/17,12:39 AM
Vehicle theft,500  S  State St,Syracuse,6/22/17,12:39 AM
Aggravated assault,100  Dyer Ct,Syracuse,11/2/17,12:40 AM
Aggravated assault,1900  W  Fayette St,Syracuse,7/1/17,12:40 AM
Burglary,200  Milburn Dr,Syracuse,8/5/17,12:40 AM
Burglary,300  S  Warren St,Syracuse,7/5/17,12:40 AM
Larceny,100  Fernwood Av,Syracuse,11/22/17,12:40 AM
Aggravated assault,700  Butternut St,Syracuse,2/21/18,12:41 AM
Larceny,5900  Griffin Dr,Cicero,10/3/17,12:41 AM
Burglary,100  Steuben St,Syracuse,12/20/17,12:42 AM
Larceny,1800  James St,Syracuse,11/4/17,12:43 AM
Larceny,4700  Onondaga Blvd,Syracuse,9/17/17,12:43 AM
Robbery,700  Kirkpatrick St,Syracuse,6/15/17,12:44 AM
Aggravated assault,900  Burnet Av,Syracuse,8/3/17,12:45 AM
Burglary,3900  S  Salina St,Syracuse,6/26/17,12:46 AM
Burglary,100  Annetta St,Syracuse,6/8/17,12:46 AM
Burglary,300  First North St,Syracuse,6/19/17,12:47 AM
Aggravated assault,300  Prospect Av,Syracuse,6/30/17,12:49 AM
Larceny,400  Westbrook Hills Dr,Syracuse,11/12/17,12:49 AM
Larceny,1900  W  Fayette St,Syracuse,3/18/18,12:50 AM
Larceny,500  E Molloy Rd,Syracuse,11/11/17,12:50 AM
Larceny,7200  Oswego Rd,Liverpool,10/7/17,12:50 AM
Larceny,200  Hutchinson Av,Syracuse,9/10/17,12:50 AM
Murder,300  N  Salina St,Syracuse,8/26/17,12:50 AM
Aggravated assault,300  Prospect Av,Syracuse,8/27/17,12:51 AM
Larceny,200  Herald Pl,Syracuse,8/17/17,12:51 AM
Aggravated assault,100  S Main St,Syracuse,7/1/17,12:52 AM
Aggravated assault,800  First North St,Syracuse,6/18/17,12:52 AM
Burglary,100  Colby Av,Syracuse,12/20/17,12:53 AM
Larceny,4700  Onondaga Blvd,Syracuse,7/29/17,12:53 AM
Aggravated assault,700  Pond St,Syracuse,8/16/17,12:54 AM
Larceny,2100  Teall Av,Syracuse,1/22/18,12:54 AM
Robbery,1700  Lodi St,Syracuse,8/18/17,12:54 AM
Aggravated assault,700  E  Adams St,Syracuse,1/20/18,12:55 AM
Burglary,1600  E  Fayette St,Syracuse,2/17/18,12:55 AM
Larceny,6500  Thompson Rd,Syracuse,2/19/18,12:55 AM
Larceny,4800  S  Salina St,Syracuse,10/30/17,12:55 AM
Larceny,800  James St,Syracuse,7/27/17,12:55 AM
Larceny,0  W  Fayette St,Syracuse,7/15/17,12:55 AM
Robbery,1300  Willis Av,Syracuse,10/16/17,12:55 AM
Larceny,300  Tully St,Syracuse,11/1/17,12:56 AM
Robbery,600  Walberta Rd,Syracuse,7/5/17,12:56 AM
Aggravated assault,300  S  Midler Av,Syracuse,2/24/18,12:57 AM
Aggravated assault,800  Ostom Av,Syracuse,9/10/17,12:57 AM
Larceny,2400  Lodi St,Syracuse,7/16/17,12:57 AM
Burglary,100  Lorian Dr,Syracuse,10/9/17,12:58 AM
Aggravated assault,1100  W  Colvin St,Syracuse,9/7/17,12:59 AM
Burglary,3700  James St,Syracuse,2/16/18,12:59 AM
Larceny,300  Bear St,Syracuse,10/18/17,12:59 AM
Aggravated assault,1000  Highland St,Syracuse,7/12/17,1:00 AM
Burglary,3400  S  Salina St,Syracuse,12/16/17,1:00 AM
Burglary,700  Lancaster Av,Syracuse,12/16/17,1:00 AM
Burglary,0  Presidential Ct,Syracuse,10/8/17,1:00 AM
Burglary,200  Scottholm Blvd,Syracuse,10/4/17,1:00 AM
Burglary,1000  James St,Syracuse,8/23/17,1:00 AM
Burglary,300  Jamesville Av,Syracuse,8/21/17,1:00 AM
Burglary,300  W  Ostrander Av,Syracuse,7/16/17,1:00 AM
Burglary,300  Basin St,Syracuse,7/9/17,1:00 AM
Burglary,600  W  Newell St,Syracuse,6/24/17,1:00 AM
Burglary,400  Kirkpatrick St,Syracuse,6/21/17,1:00 AM
Burglary,400  Ash St,Syracuse,6/9/17,1:00 AM
Larceny,100  Cambridge St,Syracuse,1/7/18,1:00 AM
Larceny,100  Minerva St,Syracuse,12/27/17,1:00 AM
Larceny,100  W  Ostrander Av,Syracuse,12/21/17,1:00 AM
Larceny,500  Turtle St,Syracuse,12/16/17,1:00 AM
Larceny,300  Salt Springs Rd,Syracuse,11/26/17,1:00 AM
Larceny,4100  Silverado Dr,Liverpool,11/18/17,1:00 AM
Larceny,1200  W  Genesee St,Syracuse,11/4/17,1:00 AM
Larceny,400  Hamilton St,Syracuse,10/27/17,1:00 AM
Larceny,300  S  Beech St,Syracuse,10/15/17,1:00 AM
Larceny,100  Kuhl Av,Syracuse,10/10/17,1:00 AM
Larceny,100  Maplewood Av,Syracuse,9/29/17,1:00 AM
Larceny,100  Waring Rd,Syracuse,9/22/17,1:00 AM
Larceny,300  Hickok Av,Syracuse,9/14/17,1:00 AM
Larceny,300  Marshall St,Syracuse,9/7/17,1:00 AM
Larceny,100  Albert Ter,Syracuse,8/28/17,1:00 AM
Larceny,500  University Av,Syracuse,8/27/17,1:00 AM
Larceny,200  North Av,Syracuse,8/17/17,1:00 AM
Larceny,700  E  Genesee St,Syracuse,8/9/17,1:00 AM
